,year,neighbourhood_cleansed,Demand,Supply,Price,Review Score
81,2021,Havering,28.0,256,72.7421875,94.671875
82,2021,Hillingdon,94.0,623,60.11414790996785,93.90529695024077
83,2021,Hounslow,81.0,1020,85.80078508341511,93.99901960784314
84,2021,Islington,224.0,4501,97.82360861759426,94.35569873361476
85,2021,Kensington and Chelsea,557.0,5285,158.93755985443403,93.02100283822138
86,2021,Kingston upon Thames,46.0,515,75.62768031189084,95.59223300970874
87,2021,Lambeth,253.0,4324,87.84371382264413,94.82053654024052
88,2021,Lewisham,142.0,2147,64.56413857677903,94.75733581741966
89,2021,Merton,51.0,1234,101.53571428571429,94.82009724473258
90,2021,Newham,111.0,1842,80.43882544861337,94.12486427795874
91,2021,Redbridge,44.0,690,65.58102189781022,93.63478260869566
92,2021,Richmond upon Thames,78.0,1105,115.18636363636364,95.30497737556561
93,2021,Southwark,240.0,4263,91.33702568937073,94.03893971381656
94,2021,Sutton,31.0,308,57.55298013245033,93.50974025974025
95,2021,Tower Hamlets,396.0,6891,82.86138181818181,93.26933681613698
96,2021,Waltham Forest,54.0,1367,65.46661775495231,94.65471836137527
97,2021,Wandsworth,246.0,3885,107.17921609076843,95.03526383526383
98,2021,Westminster,775.0,8507,149.1218522496718,92.99282943458329
