Unnamed: 0,19-01,19-02,19-03,19-04,19-05,19-06,19-07,19-08,19-09,19-10,19-11,19-12,20-01,20-02,20-03,20-04,20-05,20-06,20-07,20-08,20-09,20-10,20-11,20-12,21-01,21-02
airbnb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,2,2,2,2,2,5
made,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,2,2,2,2,2,2,3
quick,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2
night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,2,2,2,2,3,2,3,6
underground,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,8,13,18,5,4,3,4,5,5,5,15
stayed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,3
near,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,3,2,2,2,3,3,3,11
street,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,4,4,2,2,2,2,2,2,3,5
value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,2,2,2,3,2,2,4
people,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,3,4,6,3,2,2,2,2,2,3,5
fantastic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,2,2,2,2,2,2,3
two,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,6,3,2,2,2,2,2,2,5
family,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,3,4,9,3,2,2,2,3,3,3,5
kind,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,7,3,2,2,2,2,2,2,5
small,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,2,2,2,2,3,2,2,6
next,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,2,2,2,3,2,2,5
welcoming,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,6,4,2,2,2,2,3,2,3,4
always,2,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,3
recommended,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,3,3,4,2,2,2,2,2,2,2,4
short,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,4,3,2,2,2,2,2,2,2,3
feel,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,5,2,2,2,2,2,2,2,3
experience,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,4
walking,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,4,3,2,2,2,3,3,3,5
bit,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,4,5,8,3,2,2,2,3,2,3,8
amenities,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3
shops,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,5
best,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,3,3,4,2,2,2,2,2,2,2,4
come,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,4,5,7,3,2,2,2,3,2,3,4
cozy,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,4,9,8,4,3,2,2,2,2,2,4
day,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,4,5,3,2,2,2,3,2,3,5
right,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,2,2,2,2,2,2,3,4
many,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,4,5,3,2,2,2,2,3,2,13
shower,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,4,5,5,3,2,2,2,3,2,3,4
access,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,4,5,4,3,2,2,2,3,3,3,8
go,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,3,2,2,2,3,3,3,8
felt,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,3,4,2,2,2,2,3,2,2,5
stylish,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3
quite,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,6,5,3,2,2,2,2,3,2,4
cosy,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,2,2,2,2,2,2,2,3
loved,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,5,3,2,2,2,2,2,2,2,6
transport,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,4,6,3,2,2,3,3,3,3,7
big,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,4,3,2,2,2,3,2,2,9
lot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,8,3,2,2,2,3,3,3,6
neighborhood,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,5,11,9,6,4,4,3,4,5,5,14
bedroom,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,4,5,8,3,2,2,3,3,3,3,5
nearby,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,5,5,3,3,2,2,3,3,3,8
distance,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,5,5,3,2,3,3,3,3,3,6
price,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,7,10,3,2,2,2,4,3,3,8
provided,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,12,3,3,3,3,3,3,3,7
minute,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,6,6,3,3,2,3,4,3,3,10
find,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,7,3,3,2,3,3,3,3,12
responsive,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,2,2,2,3
use,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,3,3,3,2,3,3,3,9
breakfast,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,15,19,5,4,3,4,8,6,7,30
make,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,2,2,2,3,2,2,3
overall,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,2,2,2,3,3,2,5
enough,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,3,2,2,2,3,3,3,6
train,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,5,6,8,5,3,3,3,4,4,4,10
visit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,8,9,3,3,3,3,4,4,4,10
local,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,5,3,2,2,2,3,3,3,6
want,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,3,3,2,3,4,3,3,6
better,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,2,2,2,2,3,3,2,5
lots,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,3,4,5,3,2,2,2,3,2,3,4
trip,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,13,13,4,3,3,3,5,4,5,23
within,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,7,4,2,3,3,3,3,3,6
public,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,10,5,4,4,4,5,5,5,10
check-in,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,8,9,3,3,3,3,4,3,4,7
comfy,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,6,3,2,2,2,3,3,4,4
safe,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,7,3,2,3,3,3,3,3,5
days,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,7,4,3,2,2,3,3,3,9
money,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,2,2,2,2,4,2,3,7
new,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,5,6,12,6,4,3,3,4,4,4,10
modern,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,4
first,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,7,4,3,3,3,3,3,4,6
places,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,10,6,4,3,3,3,4,4,5,10
available,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,8,3,3,3,3,3,3,4,9
water,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,9,12,5,4,3,3,4,3,3,10
extremely,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,2,2,3,2,2,5
absolutely,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,2,2,2,2,3,3,3,6
sure,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,3,3,2,3,3,3,3,4
questions,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,6,3,3,3,2,3,3,3,8
equipped,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,3,2,2,2,2,2,2,4
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,14,9,5,4,3,3,4,5,5,8
welcome,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,3,3,3,3,4,4,5,25
every,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,4,3,3,3,3,3,3,6
...,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,10,4,3,3,3,4,4,4,11
tidy,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,3,2,2,2,4,3,4,7
hospitality,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,9,6,3,3,3,3,4,3,3,7
help,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,3,3,2,2,2,3,2,5
food,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,7,4,3,3,3,4,3,4,8
anyone,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,9,3,2,2,3,3,3,3,6
park,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4
looking,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,3,3,2,2,3,3,3,6
coffee,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,11,7,4,3,3,3,4,4,4,12
work,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,2,2,2,3
quickly,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,7,4,3,3,3,3,3,3,7
living,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,7,3,3,3,3,3,3,3,8
stop,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,11,22,7,6,4,5,6,7,7,32
person,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,11,4,3,3,3,3,3,3,9
plenty,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,4,3,3,3,4,3,4,6
min,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,9,14,7,5,4,4,4,5,5,17
exactly,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,7,5,3,3,3,3,4,3,3,5
guests,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,8,11,4,4,3,3,5,4,4,9
far,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,5,4,4,4,5,5,6,20
door,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,5,7,4,3,3,3,4,3,4,10
center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,13,22,57,13,6,6,5,8,8,8,25
floor,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,7,7,4,3,3,3,4,3,3,9
beds,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,15,10,4,3,3,4,5,4,5,10
stations,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,12,9,6,5,4,4,5,6,6,18
property,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,3,2,2,4
rooms,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,13,14,4,3,3,3,5,3,3,14
accommodating,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,3,3,3,2,3,3,3,6
large,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,9,4,3,3,3,4,3,4,6
gave,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,11,27,6,4,4,5,5,5,6,13
however,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,7,10,3,3,2,3,3,3,3,6
sleep,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,13,18,4,3,4,4,5,4,6,15
road,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,6,4,3,2,3,4,4,4,9
accommodation,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,3,3,3,3,4,3,3,9
love,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,10,6,4,3,3,3,4,3,4,5
couple,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,7,9,4,3,3,3,4,4,4,9
expected,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,8,10,4,3,3,3,4,4,4,13
building,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,5,4,4,3,3,3,3,3,3,10
book,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,2,2,2,2,4,3,3,5
things,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,9,5,3,3,3,3,3,3,8
nights,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,11,11,4,3,4,4,5,4,5,18
problem,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,11,6,4,4,4,4,5,4,11
view,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,3,3,3,3,3,3,3,6
way,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,7,4,3,3,3,4,4,4,10
though,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,10,10,5,3,3,3,5,4,4,9
etc,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,8,8,4,3,3,3,4,4,4,11
noise,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,9,4,4,3,3,4,4,4,15
pleasant,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,7,4,4,3,3,4,3,4,6
see,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,11,9,5,3,4,3,5,4,4,8
described,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,13,10,5,3,4,4,6,5,5,7
pictures,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,5,3,3,3,3,3,3,3,5
got,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,10,3,3,3,4,4,3,3,7
outside,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,7,3,3,3,3,5,4,4,13
hot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,7,10,4,2,4,4,5,4,4,12
centre,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,8,12,4,4,4,4,9,6,6,19
take,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,8,18,7,4,4,4,4,6,5,31
perfectly,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,11,9,5,4,4,4,5,4,4,8
arrived,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,8,10,6,4,4,4,4,4,4,12
especially,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,10,4,3,3,3,4,3,4,10
fast,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,13,4,3,3,3,4,3,3,5
able,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,9,8,5,3,3,3,4,4,4,14
private,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,8,4,3,3,4,4,4,4,8
cold,2,3,3,3,4,4,5,6,4,3,2,2,2,2,3,9,48,23,16,11,8,6,9,4,4,25
touches,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,7,7,3,3,3,3,4,4,4,7
arrival,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,10,11,12,5,4,4,4,6,4,4,10
found,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,13,13,4,4,3,4,4,4,5,9
mins,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,12,21,6,4,4,5,4,5,5,11
late,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,10,18,17,6,5,4,5,8,7,10,16
transportation,2,3,2,2,2,2,2,2,2,2,3,2,2,3,3,21,15,22,13,9,6,6,7,8,9,28
tips,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,15,15,,6,6,6,7,11,10,13,69
left,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,10,4,3,3,3,5,3,3,12
easily,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,8,9,18,7,5,4,4,6,6,6,16
happy,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,11,4,3,3,4,4,4,5,7
towels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,10,11,6,4,4,5,6,5,7,10
studio,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,5,3,3,3,3,3,3,3,7
decorated,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,13,8,4,3,3,3,5,4,6,7
pretty,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,10,8,8,6,4,4,3,5,4,5,14
went,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,5,8,7,5,4,3,4,5,4,4,11
awesome,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,8,10,13,6,5,4,4,5,5,5,12
respond,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,7,4,3,3,3,4,4,3,8
light,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,7,4,3,3,3,3,4,4,7
morning,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,11,9,6,5,4,5,7,6,8,12
buses,2,3,2,2,2,2,2,2,2,2,3,2,3,3,3,10,19,48,12,9,8,6,10,10,12,33
line,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,12,19,18,12,7,7,7,7,9,13,33
issues,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,4,4,3,3,3,3,3,3,4
photos,2,3,3,2,3,2,2,2,2,2,3,3,2,3,3,8,12,7,4,4,4,3,4,4,4,9
ideal,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,13,4,3,3,3,4,4,4,8
ever,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,8,6,5,3,3,3,4,4,4,11
spot,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,6,8,8,5,3,3,3,5,4,5,10
thoughtful,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,9,20,6,3,3,3,5,4,5,16
needs,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,3,3,3,4,4,4,5
main,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,7,10,6,4,4,4,5,4,5,12
high,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,5,6,5,4,3,3,3,4,3,3,9
